index,add,coord,id,side,state,cnty,key1,block
2163,"1946 BATHGATE AVE, BRONX, NY, 10457","-73.896675,40.847736",80311698,R,36,5,39500,3006
2164,"411 WALES AVE, BRONX, NY, 10454","-73.90856,40.8092",80300921,L,36,5,3500,1007
2168,"350 GERARD AVE, BRONX, NY, 10451","-73.93042,40.81598",80312227,R,36,5,6300,2036
2170,"1021 JENNINGS ST, BRONX, NY, 10460","-73.886314,40.830887",80302450,L,36,5,15700,3003
2171,"1122 E 180TH ST, BRONX, NY, 10460","-73.8754,40.84181",80310519,R,36,5,22000,1007
2174,"1827 ARCHER ST, BRONX, NY, 10460","-73.86606,40.837624",80308502,L,36,5,21601,1002
2176,"2925 GOULDEN AVE, BRONX, NY, 10468","-73.897514,40.87122",80298579,L,36,5,40900,1007
2177,"2925 GOULDEN AVE, BRONX, NY, 10468","-73.897514,40.87122",80298579,L,36,5,40900,1007
2178,"3872 3RD AVE, BRONX, NY, 10457","-73.90067,40.838882",80301346,R,36,5,16700,1000
2179,"250 E 156TH ST, BRONX, NY, 10451","-73.922325,40.82338",609079313,R,36,5,6100,3000
2180,"14 W 170TH ST, BRONX, NY, 10452","-73.9184,40.84046",80299791,L,36,5,21900,1006
2181,"3565 3RD AVE, BRONX, NY, 10456","-73.90535,40.832096",80301293,L,36,5,14500,3000
2182,"1506 BROOK AVE, BRONX, NY, 10457","-73.905136,40.838425",80301237,R,36,5,16900,1002
2183,"3740 BAYCHESTER AVE, BRONX, NY, 10466","-73.840744,40.885445",80297814,R,36,5,48400,3001
2184,"2697 WESTCHESTER AVE, BRONX, NY, 10461","-73.84019,40.841644",80312702,L,36,5,28400,1018
2185,"3540 BIVONA ST, BRONX, NY, 10475","-73.833115,40.88259",612291161,R,36,5,46202,1011
2187,"950 LONGFELLOW AVE, BRONX, NY, 10474","-73.88649,40.821335",641450767,R,36,5,11502,1005
2188,"470 JACKSON AVE, BRONX, NY, 10455","-73.909805,40.811172",80300903,R,36,5,3500,1002
2189,"1434 LONGFELLOW AVE, BRONX, NY, 10459","-73.88769,40.830433",80302447,R,36,5,12300,3000
2190,"1434 LONGFELLOW AVE, BRONX, NY, 10459","-73.88769,40.830433",80302447,R,36,5,12300,3000
