_id,geoid,year,in100,msaid15,msaname15,countyfips,statefips,stateusps,pop,z_ED_nat,z_HE_nat,z_SE_nat,z_COI_nat,c5_ED_nat,c5_HE_nat,c5_SE_nat,c5_COI_nat,r_ED_nat,r_HE_nat,r_SE_nat,r_COI_nat,c5_ED_stt,c5_HE_stt,c5_SE_stt,c5_COI_stt,r_ED_stt,r_HE_stt,r_SE_stt,r_COI_stt,c5_ED_met,c5_HE_met,c5_SE_met,c5_COI_met,r_ED_met,r_HE_met,r_SE_met,r_COI_met
85984,36005031200,2010,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,438,-0.05297308,-0.031715214,0.001042238,-0.009109858,Low,Very Low,Moderate,Low,23,13,45,35,Low,Very Low,Moderate,Low,25,4,53,40,Low,Very Low,Moderate,Low,25,3,51,39
85985,36005031200,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,396,0.039261758,0.060434002,0.049609784,0.016544323,High,Very High,Moderate,High,73,89,55,65,High,Very High,High,High,68,84,61,66,Moderate,High,Moderate,Moderate,59,80,58,60
85986,36005031400,2010,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,404,-0.052874085,-0.003715619,0.17901835,0.014591865,Low,Low,Very High,High,23,29,82,63,Low,Very Low,Very High,High,25,10,84,64,Low,Very Low,Very High,Moderate,25,9,83,59
85987,36005031400,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,383,0.049957935,0.038322315,-0.00650495,0.008843843,High,High,Moderate,Moderate,77,69,43,56,High,Moderate,Moderate,Moderate,73,52,52,58,High,Moderate,Moderate,Moderate,64,49,50,54
85988,36005031600,2010,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,503,-0.039141402,-0.033676997,0.002170565,-0.007658129,Low,Very Low,Moderate,Low,31,13,45,36,Low,Very Low,Moderate,Moderate,30,4,53,41,Low,Very Low,Moderate,Low,29,2,51,40
85989,36005031600,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,386,0.023716765,0.038256876,-0.018712725,0.00451513,High,High,Moderate,Moderate,66,69,41,51,High,Moderate,Moderate,Moderate,62,52,50,54,Moderate,Moderate,Moderate,Moderate,53,49,48,51
85990,36005031800,2010,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,573,-0.047433674,0.044182982,-0.050445754,-0.00641321,Low,High,Low,Low,26,75,35,38,Low,Moderate,Moderate,Moderate,27,60,45,42,Low,Moderate,Moderate,Moderate,27,57,44,41
85991,36005031800,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,232,-0.038639672,0.005307798,-0.12815677,-0.018620925,Low,Low,Low,Low,31,36,23,25,Low,Very Low,Low,Low,30,13,34,31,Low,Very Low,Low,Low,29,13,33,30
85992,36005031900,2010,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,5,0.038559128,0.070254929,-0.74300325,-0.074726418,High,Very High,Very Low,Very Low,73,95,1,2,High,Very High,Very Low,Very Low,68,93,1,3,Moderate,Very High,Very Low,Very Low,59,89,1,3
85993,36005031900,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,5,0.10184304,0.077195019,-1.0632094,-0.10425466,Very High,Very High,Very Low,Very Low,91,97,1,1,Very High,Very High,Very Low,Very Low,89,97,1,1,Very High,Very High,Very Low,Very Low,83,95,1,1
85994,36005032300,2010,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,954,0.038227677,0.026454398,0.090656415,0.017591059,High,Moderate,High,High,73,57,63,66,High,Low,High,High,68,34,68,67,Moderate,Low,High,High,59,33,65,61
